Epoch:  34%|███▎      | 67/200 [29:55<59:22, 26.79s/epoch]  Epoch 066 | Learning rate 0.000750 | train normalized MSE   0.2955 | val normalized MSE   0.3314, | val MAE   1.4303 | val MSE   8.2839
Epoch:  34%|███▍      | 68/200 [30:21<57:53, 26.32s/epoch]Epoch 067 | Learning rate 0.000750 | train normalized MSE   0.2870 | val normalized MSE   0.3258, | val MAE   1.3733 | val MSE   8.1439
Epoch:  34%|███▍      | 69/200 [30:45<56:22, 25.82s/epoch]Epoch 068 | Learning rate 0.000750 | train normalized MSE   0.2938 | val normalized MSE   0.3281, | val MAE   1.4304 | val MSE   8.2019
Epoch:  35%|███▌      | 70/200 [31:13<56:55, 26.27s/epoch]Epoch 069 | Learning rate 0.000750 | train normalized MSE   0.2874 | val normalized MSE   0.3149, | val MAE   1.3614 | val MSE   7.8719
Epoch:  36%|███▌      | 71/200 [31:40<56:56, 26.49s/epoch]Epoch 070 | Learning rate 0.000750 | train normalized MSE   0.2828 | val normalized MSE   0.3175, | val MAE   1.3743 | val MSE   7.9364
Epoch:  36%|███▌      | 72/200 [32:06<56:12, 26.35s/epoch]Epoch 071 | Learning rate 0.000750 | train normalized MSE   0.2852 | val normalized MSE   0.3185, | val MAE   1.3933 | val MSE   7.9633
Epoch:  36%|███▋      | 73/200 [32:32<56:01, 26.47s/epoch]Epoch 072 | Learning rate 0.000750 | train normalized MSE   0.2818 | val normalized MSE   0.3142, | val MAE   1.3387 | val MSE   7.8561
Epoch:  37%|███▋      | 74/200 [32:58<54:49, 26.11s/epoch]Epoch 073 | Learning rate 0.000750 | train normalized MSE   0.2859 | val normalized MSE   0.3194, | val MAE   1.3799 | val MSE   7.9858
Epoch:  38%|███▊      | 75/200 [33:22<53:12, 25.54s/epoch]Epoch 074 | Learning rate 0.000750 | train normalized MSE   0.2832 | val normalized MSE   0.3241, | val MAE   1.4123 | val MSE   8.1015
Epoch:  38%|███▊      | 76/200 [33:47<52:26, 25.38s/epoch]Epoch 075 | Learning rate 0.000750 | train normalized MSE   0.2804 | val normalized MSE   0.3195, | val MAE   1.3958 | val MSE   7.9863
Epoch:  38%|███▊      | 77/200 [34:12<51:32, 25.14s/epoch]Epoch 076 | Learning rate 0.000750 | train normalized MSE   0.2771 | val normalized MSE   0.3221, | val MAE   1.3778 | val MSE   8.0537
Epoch:  39%|███▉      | 78/200 [34:36<50:28, 24.83s/epoch]Epoch 077 | Learning rate 0.000750 | train normalized MSE   0.2799 | val normalized MSE   0.3293, | val MAE   1.4259 | val MSE   8.2319
Epoch:  40%|███▉      | 79/200 [35:01<50:20, 24.96s/epoch]Epoch 078 | Learning rate 0.000563 | train normalized MSE   0.2742 | val normalized MSE   0.3221, | val MAE   1.4073 | val MSE   8.0521
Epoch:  40%|████      | 80/200 [35:27<50:31, 25.26s/epoch]Epoch 079 | Learning rate 0.000563 | train normalized MSE   0.2642 | val normalized MSE   0.3132, | val MAE   1.3713 | val MSE   7.8299
Epoch:  40%|████      | 81/200 [35:52<50:04, 25.25s/epoch]Epoch 080 | Learning rate 0.000563 | train normalized MSE   0.2630 | val normalized MSE   0.3160, | val MAE   1.3318 | val MSE   7.8996
Epoch:  41%|████      | 82/200 [36:18<49:47, 25.32s/epoch]Epoch 081 | Learning rate 0.000563 | train normalized MSE   0.2617 | val normalized MSE   0.3095, | val MAE   1.3214 | val MSE   7.7365
Epoch:  42%|████▏     | 83/200 [36:43<49:41, 25.48s/epoch]Epoch 082 | Learning rate 0.000563 | train normalized MSE   0.2621 | val normalized MSE   0.3096, | val MAE   1.3307 | val MSE   7.7396
Epoch:  42%|████▏     | 84/200 [37:09<49:22, 25.54s/epoch]Epoch 083 | Learning rate 0.000563 | train normalized MSE   0.2612 | val normalized MSE   0.3062, | val MAE   1.3480 | val MSE   7.6555
Epoch:  42%|████▎     | 85/200 [37:35<49:08, 25.64s/epoch]Epoch 084 | Learning rate 0.000563 | train normalized MSE   0.2592 | val normalized MSE   0.3059, | val MAE   1.3440 | val MSE   7.6474
Epoch:  43%|████▎     | 86/200 [38:02<49:24, 26.00s/epoch]Epoch 085 | Learning rate 0.000563 | train normalized MSE   0.2540 | val normalized MSE   0.3224, | val MAE   1.3975 | val MSE   8.0610
Epoch:  44%|████▎     | 87/200 [38:29<49:49, 26.46s/epoch]Epoch 086 | Learning rate 0.000563 | train normalized MSE   0.2595 | val normalized MSE   0.2997, | val MAE   1.3326 | val MSE   7.4915
Epoch:  44%|████▍     | 88/200 [38:55<48:45, 26.12s/epoch]Epoch 087 | Learning rate 0.000563 | train normalized MSE   0.2596 | val normalized MSE   0.3078, | val MAE   1.3498 | val MSE   7.6946
